20160104 000000,1.087940,1.087940,1.087830,1.087830,0
20160104 000100,1.087830,1.087840,1.087640,1.087640,0
20160104 000200,1.087640,1.088220,1.087640,1.088220,0
20160104 000300,1.088220,1.088220,1.088040,1.088050,0
20160104 000400,1.088050,1.088050,1.087820,1.087960,0
20160104 000500,1.087960,1.087960,1.087630,1.087630,0
20160104 000600,1.087640,1.087740,1.087620,1.087650,0
20160104 000700,1.087640,1.087660,1.087520,1.087520,0
20160104 000800,1.087470,1.087780,1.087400,1.087780,0
20160104 000900,1.087790,1.087790,1.087550,1.087550,0
20160104 001000,1.087630,1.087790,1.087620,1.087790,0
20160104 001100,1.087780,1.087890,1.087770,1.087860,0
20160104 001200,1.087860,1.087990,1.087780,1.087970,0
20160104 001300,1.087980,1.087980,1.087690,1.087690,0
20160104 001400,1.087670,1.087960,1.087670,1.087840,0
20160104 001500,1.087850,1.087980,1.087800,1.087980,0
20160104 001600,1.088010,1.088100,1.087950,1.087970,0
20160104 001700,1.087980,1.088010,1.087970,1.087980,0
20160104 001800,1.087970,1.087980,1.087970,1.087970,0
20160104 001900,1.087980,1.088010,1.087950,1.087960,0
20160104 002000,1.087960,1.088260,1.087950,1.088140,0
20160104 002100,1.088140,1.088140,1.087960,1.087960,0
20160104 002200,1.087970,1.088020,1.087960,1.087960,0
20160104 002300,1.087960,1.088040,1.087940,1.088030,0
20160104 002400,1.088030,1.088040,1.088020,1.088030,0
20160104 002500,1.088050,1.088340,1.088050,1.088250,0
20160104 002600,1.088240,1.088260,1.088060,1.088110,0
20160104 002700,1.088120,1.088140,1.088050,1.088060,0
20160104 002800,1.088050,1.088150,1.088050,1.088140,0
20160104 002900,1.088150,1.088260,1.088140,1.088150,0
20160104 003000,1.088210,1.088360,1.088210,1.088340,0
20160104 003100,1.088360,1.088460,1.088270,1.088450,0
20160104 003200,1.088460,1.089190,1.088460,1.089070,0
20160104 003300,1.089070,1.089230,1.088930,1.089120,0
20160104 003400,1.089110,1.089540,1.089100,1.089450,0
20160104 003500,1.089450,1.089550,1.089240,1.089460,0
20160104 003600,1.089480,1.089680,1.089440,1.089560,0
20160104 003700,1.089550,1.089550,1.089230,1.089350,0
20160104 003800,1.089350,1.089410,1.089040,1.089270,0
20160104 003900,1.089260,1.089670,1.089250,1.089580,0
20160104 004000,1.089600,1.089910,1.089560,1.089870,0
20160104 004100,1.089870,1.089970,1.089790,1.089860,0
20160104 004200,1.089860,1.090040,1.089860,1.089980,0
20160104 004300,1.090010,1.090070,1.089670,1.089770,0
