20160101 013600,1.089090,1.089130,1.089050,1.089120,0
20160101 013700,1.089120,1.089130,1.089000,1.089030,0
20160101 013800,1.089030,1.089100,1.089000,1.089090,0
20160101 013900,1.089120,1.089240,1.089040,1.089230,0
20160101 014000,1.089240,1.089340,1.089230,1.089230,0
20160101 014100,1.089220,1.089220,1.089030,1.089040,0
20160101 014200,1.089060,1.089110,1.089020,1.089100,0
20160101 014300,1.089090,1.089140,1.089020,1.089040,0
20160101 014400,1.089040,1.089130,1.088870,1.089130,0
20160101 014500,1.089130,1.089140,1.088930,1.088940,0
20160101 014600,1.088920,1.088960,1.088740,1.088790,0
20160101 014700,1.088800,1.088860,1.088760,1.088810,0
20160101 014800,1.088820,1.089050,1.088820,1.088970,0
20160101 014900,1.088970,1.089050,1.088850,1.088860,0
20160101 015000,1.088850,1.088950,1.088730,1.088770,0
20160101 015100,1.088780,1.088860,1.088770,1.088780,0
20160101 015200,1.088790,1.088830,1.088670,1.088690,0
20160101 015300,1.088670,1.088760,1.088640,1.088650,0
20160101 015400,1.088630,1.088630,1.088560,1.088560,0
20160101 015500,1.088570,1.088580,1.088440,1.088460,0
20160101 015600,1.088450,1.088840,1.088450,1.088660,0
20160101 015700,1.088700,1.088900,1.088700,1.088860,0
20160101 015800,1.088860,1.088870,1.088810,1.088860,0
20160101 015900,1.088870,1.088950,1.088810,1.088880,0
20160101 020000,1.088870,1.089430,1.088870,1.089420,0
20160101 020100,1.089460,1.089660,1.089340,1.089370,0
20160101 020200,1.089360,1.089520,1.089160,1.089180,0
20160101 020300,1.089170,1.089180,1.088880,1.088950,0
20160101 020400,1.088960,1.089050,1.088910,1.089040,0
20160101 020500,1.089040,1.089040,1.088400,1.088810,0
20160101 020600,1.088800,1.089020,1.088710,1.088820,0
20160101 020700,1.088800,1.088800,1.088330,1.088470,0
20160101 020800,1.088480,1.088790,1.088190,1.088210,0
20160101 020900,1.088290,1.088600,1.088220,1.088490,0
20160101 021000,1.088490,1.088520,1.088160,1.088290,0
20160101 021100,1.088300,1.088940,1.088290,1.088940,0
20160101 021200,1.088940,1.089170,1.088830,1.089140,0
20160101 021300,1.089150,1.089420,1.089030,1.089390,0
20160101 021400,1.089450,1.089450,1.089250,1.089280,0
20160101 021500,1.089260,1.089270,1.088830,1.088950,0
20160101 021600,1.088960,1.089400,1.088960,1.089210,0
20160101 021700,1.089220,1.089360,1.089200,1.089300,0
20160101 021800,1.089280,1.089280,1.088950,1.089240,0
20160101 021900,1.089230,1.089230,1.088750,1.088840,0
20160101 022000,1.088820,1.088880,1.088510,1.088620,0
20160101 022100,1.088630,1.088770,1.088540,1.088740,0
20160101 022200,1.088740,1.088870,1.088580,1.088830,0
20160101 022300,1.088860,1.088940,1.088760,1.088920,0
20160101 022400,1.088930,1.088950,1.088610,1.088800,0
20160101 022500,1.088800,1.089050,1.088770,1.089050,0
20160101 022600,1.089070,1.089330,1.088990,1.089150,0
20160101 022700,1.089140,1.089430,1.089050,1.089340,0
20160101 022800,1.089390,1.089560,1.089390,1.089460,0
20160101 022900,1.089450,1.089540,1.089020,1.089020,0
20160101 023000,1.089030,1.089200,1.089030,1.089080,0
20160101 023100,1.089090,1.089210,1.088830,1.089110,0
20160101 023200,1.089080,1.089380,1.089000,1.089300,0
20160101 023300,1.089290,1.089290,1.089070,1.089170,0
20160101 023400,1.089150,1.089470,1.089150,1.089450,0
20160101 023500,1.089440,1.089560,1.089420,1.089450,0
20160101 023600,1.089440,1.089440,1.089140,1.089140,0
20160101 023700,1.089150,1.089380,1.089130,1.089370,0
20160101 023800,1.089360,1.089620,1.089240,1.089280,0
20160101 023900,1.089260,1.089290,1.089020,1.089070,0
20160101 024000,1.089060,1.089370,1.089040,1.089220,0
20160101 024100,1.089230,1.089250,1.089110,1.089160,0
20160101 024200,1.089170,1.089390,1.089170,1.089360,0
20160101 024300,1.089370,1.089670,1.089360,1.089610,0
20160101 024400,1.089620,1.090270,1.089580,1.090060,0
20160101 024500,1.090060,1.091730,1.090010,1.091550,0
20160101 024600,1.091550,1.091630,1.091190,1.091440,0
20160101 024700,1.091440,1.091540,1.091140,1.091350,0
20160101 024800,1.091390,1.091840,1.091310,1.091840,0
20160101 024900,1.091820,1.091870,1.091570,1.091760,0
20160101 025000,1.091750,1.091750,1.091430,1.091720,0
20160101 025100,1.091730,1.092040,1.091430,1.091860,0
20160101 025200,1.091860,1.091920,1.091660,1.091750,0
20160101 025300,1.091760,1.091840,1.091440,1.091600,0
20160101 025400,1.091610,1.092000,1.091610,1.091710,0
20160101 025500,1.091730,1.091800,1.091560,1.091670,0
20160101 025600,1.091650,1.091650,1.091420,1.091440,0
20160101 025700,1.091500,1.091610,1.091330,1.091440,0
20160101 025800,1.091400,1.091450,1.091220,1.091220,0
20160101 025900,1.091220,1.091340,1.091100,1.091270,0
20160101 030000,1.091260,1.091670,1.091060,1.091600,0
20160101 030100,1.091570,1.092390,1.091570,1.092190,0
20160101 030200,1.092200,1.092330,1.091810,1.091910,0
20160101 030300,1.091910,1.091920,1.091700,1.091760,0
20160101 030400,1.091760,1.091930,1.091730,1.091830,0
20160101 030500,1.091880,1.092360,1.091880,1.092260,0
20160101 030600,1.092280,1.092670,1.092230,1.092640,0
20160101 030700,1.092680,1.092860,1.092330,1.092760,0
20160101 030800,1.092780,1.093330,1.092770,1.092910,0
20160101 030900,1.092900,1.093270,1.092830,1.092830,0
20160101 031000,1.092850,1.093190,1.092810,1.093070,0
20160101 031100,1.093070,1.093410,1.092620,1.092720,0
20160101 031200,1.092770,1.092820,1.092280,1.092530,0
20160101 031300,1.092530,1.092900,1.092510,1.092770,0
20160101 031400,1.092770,1.093050,1.092450,1.092560,0
20160101 031500,1.092570,1.092930,1.092510,1.092930,0
20160101 031600,1.092940,1.093690,1.092920,1.093690,0
20160101 031700,1.093740,1.094070,1.093610,1.093950,0
20160101 031800,1.093960,1.094570,1.093850,1.093870,0
20160101 031900,1.093880,1.094260,1.093750,1.093780,0
20160101 032000,1.093790,1.094360,1.093720,1.094320,0
20160101 032100,1.094330,1.094640,1.094010,1.094350,0
20160101 032200,1.094320,1.094520,1.093960,1.094030,0
20160101 032300,1.094040,1.094190,1.093880,1.093910,0
