Date,Open,High,Low,Close,Change (Pips),Change (%)
Jun 06 2017 06:00,96.492,96.532,96.442,96.512,2,0.02%
Jun 06 2017 05:00,96.53,96.56,96.46,96.48,-5,-0.05%
Jun 06 2017 04:00,96.547,96.557,96.537,96.537,-1,-0.01%
Jun 06 2017 03:00,96.509,96.539,96.509,96.539,3,0.03%
Jun 06 2017 02:00,96.532,96.552,96.502,96.522,-1,-0.01%
Jun 06 2017 01:00,96.621,96.631,96.531,96.541,-8,-0.08%
Jun 06 2017 00:00,96.701,96.701,96.621,96.631,-7,-0.07%
Jun 05 2017 20:00,96.709,96.719,96.689,96.719,1,0.01%
Jun 05 2017 19:00,96.708,96.728,96.698,96.718,1,0.01%
Jun 05 2017 18:00,96.688,96.738,96.678,96.698,1,0.01%
Jun 05 2017 17:00,96.709,96.709,96.639,96.679,-3,-0.03%
Jun 05 2017 16:00,96.742,96.772,96.702,96.722,-2,-0.02%
Jun 05 2017 15:00,96.718,96.758,96.698,96.748,3,0.03%
Jun 05 2017 14:00,96.752,96.782,96.692,96.732,-2,-0.02%
Jun 05 2017 13:00,96.84,96.88,96.71,96.74,-10,-0.10%
Jun 05 2017 12:00,96.768,96.838,96.738,96.828,6,0.06%
Jun 05 2017 11:00,96.811,96.841,96.771,96.781,-3,-0.03%
Jun 05 2017 10:00,96.67,96.84,96.64,96.8,13,0.13%
Jun 05 2017 09:00,96.642,96.692,96.642,96.662,2,0.02%
Jun 05 2017 08:00,96.688,96.708,96.628,96.628,-6,-0.06%
Jun 05 2017 07:00,96.707,96.727,96.607,96.677,-3,-0.03%
Jun 05 2017 06:00,96.687,96.717,96.667,96.697,1,0.01%
Jun 05 2017 05:00,96.711,96.741,96.691,96.701,-1,-0.01%
Jun 05 2017 04:00,96.679,96.709,96.669,96.699,2,0.02%
Jun 05 2017 03:00,96.66,96.7,96.65,96.67,1,0.01%
Jun 05 2017 02:00,96.681,96.721,96.661,96.671,-1,-0.01%
Jun 05 2017 01:00,96.671,96.701,96.621,96.691,2,0.02%
Jun 05 2017 00:00,96.638,96.688,96.608,96.658,2,0.02%
Jun 02 2017 20:00,96.569,96.589,96.559,96.579,1,0.01%
Jun 02 2017 19:00,96.627,96.627,96.557,96.577,-5,-0.05%
Jun 02 2017 18:00,96.628,96.638,96.608,96.618,-1,-0.01%
Jun 02 2017 17:00,96.662,96.682,96.622,96.622,-4,-0.04%
Jun 02 2017 16:00,96.662,96.692,96.612,96.652,-1,-0.01%
Jun 02 2017 15:00,96.637,96.687,96.567,96.667,3,0.03%
Jun 02 2017 14:00,96.661,96.781,96.641,96.651,-1,-0.01%
Jun 02 2017 13:00,96.718,96.828,96.648,96.668,-5,-0.05%
Jun 02 2017 12:00,97.199,97.209,96.609,96.729,-47,-0.49%
Jun 02 2017 11:00,97.141,97.211,97.131,97.211,7,0.07%
Jun 02 2017 10:00,97.107,97.147,97.067,97.127,2,0.02%
Jun 02 2017 09:00,97.141,97.151,97.101,97.101,-4,-0.04%
Jun 02 2017 08:00,97.15,97.16,97.08,97.13,-2,-0.02%
Jun 02 2017 07:00,97.139,97.159,97.079,97.159,2,0.02%
Jun 02 2017 06:00,97.121,97.141,97.091,97.131,1,0.01%
Jun 02 2017 05:00,97.087,97.127,97.087,97.107,2,0.02%
Jun 02 2017 04:00,97.122,97.122,97.102,97.102,-2,-0.02%
Jun 02 2017 03:00,97.121,97.131,97.111,97.111,-1,-0.01%
Jun 02 2017 02:00,97.097,97.137,97.097,97.127,3,0.03%
Jun 02 2017 01:00,97.117,97.117,97.067,97.107,-1,-0.01%
